농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0021398,129,5,1,3,20201206,,,114,20210330,16,0,1,15,,,,,,23,20210422,12
PF_0021293,184,2,1,5,20200915,,,115,20210108,12,1,0,11,,,,1,,22,20210130,10
PF_0021293,74,0,1,270,20200913,,,115,20210106,9,1,0,8,,,,1,,24,20210130,11
PF_0021293,254,0,2,0,20200919,,,116,20210113,8,1,0,7,,,,1,,22,20210204,9
PF_0021293,2,1,1,6,20201021,,,117,20210215,6,1,0,5,,,,1,,,,
PF_0021293,46,1,1,6,20201021,,,118,20210216,13,0,0,13,,,,,,,,
PF_0021398,184,4,1,5,20200915,,,114,20210107,18,0,0,18,,,,,,21,20210128,12
PF_0021398,187,5,1,5,20201222,,,112,20210413,11,0,1,10,,,,,,23,20210506,11
PF_0021398,45,5,1,3,20201220,,,111,20210410,17,0,2,15,,,,,,26,20210506,11
PF_0021398,99,4,1,6,20200909,,,114,20210101,18,0,1,17,,,,,,20,20210121,13
PF_0021293,6,1,1,5,20201013,,,118,20210208,10,0,0,10,,,,,,,,
PF_0021293,142,3,1,5,20200922,,,116,20210116,10,0,0,10,,,,,,19,20210204,11
PF_0021293,111,3,1,5,20200915,,,116,20210109,14,1,0,13,,,,1,,21,20210130,10
PF_0021293,116,5,1,5,20200915,,,115,20210108,12,1,0,11,,,,1,,27,20210204,11
PF_0021398,223,0,1,240,20201007,,,114,20210129,18,0,3,15,,,,,,20,20210218,11
PF_0021398,110,5,1,4,20201123,,,112,20210315,18,0,2,16,,,,,,24,20210408,11
PF_0021398,120,3,1,6,20200916,,,114,20210108,19,0,0,19,,,,,,20,20210128,10
PF_0021398,292,5,1,5,20201020,,,113,20210210,21,0,3,18,,,,,,22,20210304,7
PF_0021398,324,3,1,5,20201013,,,114,20210204,20,0,0,20,,,,,,21,20210225,11
PF_0021290,2,5,1,19,20200916,,,115,20210109,9,0,1,8,,,,,,,,
PF_0020266,208,1,2,0,20200913,,,117,20210108,7,0,2,5,,,,,,,,
PF_0020292,362,8,1,4,20201102,,,117,20210227,11,0,0,11,0,0,0,,,26,20210325,11
PF_0020292,808,3,1,5,20201103,,,116,20210227,13,0,1,12,0,0,0,,,26,20210325,11
PF_0020292,1411,0,1,248,20201106,,,118,20210304,13,0,0,13,0,0,0,,,21,20210325,12
