"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3220000","CDFF4220001999000009","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 3관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000010","19991206","","03","폐업","03","폐업","20170426","","","","","","135916","서울특별시 강남구 역삼동 679-1번지 ","서울특별시 강남구 논현로 508 (역삼동)","","LG아트센터","20170426165458","I","2018-08-31 23:59:59.0","","203228.130613149    ","444416.137100893    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19991206",""
"3220000","CDFF4220001999000011","19991222","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816-7번지 ","서울특별시 강남구 강남대로 422 (역삼동)","","메가박스 씨티(강남대로)3관","20160616140746","I","2018-08-31 23:59:59.0","","202337.221506272    ","444235.284645944    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19991222",""
"3220000","CDFF4220001999000012","19991222","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816-7번지 ","서울특별시 강남구 강남대로 422 (역삼동)","","메가박스 씨티(강남대로)4관","20160616142601","I","2018-08-31 23:59:59.0","","202337.221506272    ","444235.284645944    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19991222",""
"3220000","CDFF4220002000000001","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 159 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스)","06164","코엑스 Dolby Cinema","20211215165232","U","2021-12-17 02:40:00.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20000504",""
"3220000","CDFF4220002000000002","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 6-3 ","서울특별시 강남구 도산대로 152 2~3층 (논현동 영동빌딩)","06040","코엑스 컴포트 2관","20211215164940","U","2021-12-17 02:40:00.0","","202160.331920404    ","446215.935571418    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20000504",""
"3220000","CDFF4220002000000003","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000004","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000005","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000006","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
