,상권_구분_코드_명,서비스_업종_코드_명,비율 방식,남성 > 여성 비율
240,전통시장,육류판매,남성 > 여성 비율,0.868020304568528
248,전통시장,화장품,남성 > 여성 비율,0.8717948717948718
206,전통시장,애완동물,남성 > 여성 비율,0.88
211,전통시장,일반의류,남성 > 여성 비율,0.8977777777777778
53,발달상권,제과점,남성 > 여성 비율,0.9029126213592233
233,전통시장,네일숍,남성 > 여성 비율,0.9090909090909091
107,골목상권,네일숍,남성 > 여성 비율,0.9096045197740112
189,전통시장,수산물판매,남성 > 여성 비율,0.9111111111111111
44,발달상권,네일숍,남성 > 여성 비율,0.9338235294117647
127,관광특구,일반교습학원,남성 > 여성 비율,1.0
134,관광특구,섬유제품,남성 > 여성 비율,1.0
130,관광특구,청과상,남성 > 여성 비율,1.0
187,관광특구,가방,남성 > 여성 비율,1.0
179,관광특구,제과점,남성 > 여성 비율,1.0
148,관광특구,일반의류,남성 > 여성 비율,1.0
183,관광특구,미용실,남성 > 여성 비율,1.0
145,관광특구,고시원,남성 > 여성 비율,1.0
136,관광특구,외국어학원,남성 > 여성 비율,1.0
159,관광특구,커피-음료,남성 > 여성 비율,1.0
178,관광특구,부동산중개업,남성 > 여성 비율,nan
161,관광특구,자전거 및 기타운송장비,남성 > 여성 비율,nan
