cow_num,group,stats,carving_num,age,sensorID,,,,
9222,1동,수정 준비됨,2,42,,,,,
9235,3동,임신,2,187,,,,,
9242,1동,임신,2,140,,,,,
9258,2동,임신,1,404,,,,,
9291,2동,최근 분만우,2,28,10059538,,,,
10147,3동,임신,9,261,,,,,
80530,2동,최근 분만우,12,5,,,,,
003B,2동,수정된 육성우,0,619,10060145,,,,
A140,3동,수정 준비된 육성우,0,533,10059116,,,,
A142,2동,수정 준비된 육성우,0,527,10060144,,,,
A143,2동,수정 준비된 육성우,0,527,10058326,,,,
A144,아래,수정 준비된 육성우,0,526,,,,,
A146,아래,수정 준비된 육성우,0,525,,,,,
A157,2동,수정 준비된 육성우,0,505,,,,,
