id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
62,2022-08-01 0:52,N,4,15,60:A4:23:C9:A0:3B,3,30.6,1026,12,15,13,28,74,2022-08-01 0:52,84,2022-08-01 9:52
63,2022-08-01 0:52,V,3,001A,60:A4:23:7C:A5:F3,1.1,26.8,1014,4,4,6,10,93,2022-08-01 0:52,78,2022-08-01 9:52
64,2022-08-01 0:52,N,4,12,60:A4:23:C9:A0:4D,3,28.5,1022,9,10,10,20,78,2022-08-01 0:52,85,2022-08-01 9:52
65,2022-08-01 0:52,N,4,16,60:A4:23:D4:5D:A3,3.1,32.4,1006,28,38,27,64,75,2022-08-01 0:52,84,2022-08-01 9:53
66,2022-08-01 0:54,N,4,17,60:A4:23:D4:5D:C7,3.1,30,1009,21,19,16,38,77,2022-08-01 0:54,84,2022-08-01 9:54
67,2022-08-01 0:55,N,4,18,60:A4:23:C9:A0:E3,3.1,30.7,1006,16,24,16,38,75,2022-08-01 0:55,84,2022-08-01 9:55
68,2022-08-01 0:55,V,3,001D,60:A4:23:7F:3D:52,1.3,24.1,1014,4,4,6,10,93,2022-08-01 0:55,79,2022-08-01 9:55
69,2022-08-01 0:56,N,4,10,60:A4:23:C9:A0:4C,3,30,1006,27,45,35,73,69,2022-08-01 0:56,86,2022-08-01 9:56
70,2022-08-01 0:57,N,4,19,60:A4:23:D4:5D:84,3,33,1029,69,106,69,166,74,2022-08-01 0:57,84,2022-08-01 9:57
71,2022-08-01 0:58,N,4,13,60:A4:23:C9:A0:3E,3,32.5,1023,43,60,44,99,80,2022-08-01 0:58,85,2022-08-01 9:58
72,2022-08-01 1:00,N,4,14,60:A4:23:C9:A0:2F,3.1,32.9,1016,19,19,16,36,70,2022-08-01 1:00,85,2022-08-01 10:00
73,2022-08-01 1:01,N,4,11,60:A4:23:C9:A0:9B,3,33.4,1010,22,26,19,45,78,2022-08-01 1:01,86,2022-08-01 10:01
74,2022-08-01 1:02,N,4,15,60:A4:23:C9:A0:3B,3,29.5,1026,22,24,21,46,67,2022-08-01 1:02,85,2022-08-01 10:02
75,2022-08-01 1:02,V,3,001A,60:A4:23:7C:A5:F3,1.1,27,1014,4,4,6,10,93,2022-08-01 1:02,79,2022-08-01 10:02
76,2022-08-01 1:02,N,4,12,60:A4:23:C9:A0:4D,3,27.9,1022,17,20,18,36,74,2022-08-01 1:02,86,2022-08-01 10:02
77,2022-08-01 1:02,N,4,16,60:A4:23:D4:5D:A3,3.1,32.4,1006,23,30,23,51,75,2022-08-01 1:02,85,2022-08-01 10:03
78,2022-08-01 1:04,N,4,17,60:A4:23:D4:5D:C7,3.1,29.8,1009,37,45,39,82,79,2022-08-01 1:04,85,2022-08-01 10:04
79,2022-08-01 1:05,V,3,001C,60:A4:23:7F:49:30,1.3,28.7,1014,4,5,5,10,89,2022-08-01 1:05,50,2022-08-01 10:05
80,2022-08-01 1:05,N,4,18,60:A4:23:C9:A0:E3,3.1,30.9,1006,80,116,110,204,72,2022-08-01 1:05,85,2022-08-01 10:05
81,2022-08-01 1:06,N,4,10,60:A4:23:C9:A0:4C,3,29.5,1006,25,31,21,52,72,2022-08-01 1:06,87,2022-08-01 10:06
82,2022-08-01 1:07,N,4,19,60:A4:23:D4:5D:84,3,33.3,1029,94,127,97,213,77,2022-08-01 1:07,85,2022-08-01 10:07
83,2022-08-01 1:08,N,4,13,60:A4:23:C9:A0:3E,3,32.9,1023,58,83,70,143,86,2022-08-01 1:08,86,2022-08-01 10:08
84,2022-08-01 1:10,N,4,14,60:A4:23:C9:A0:2F,3.1,33.1,1016,27,33,24,56,67,2022-08-01 1:10,86,2022-08-01 10:10
85,2022-08-01 1:11,N,4,11,60:A4:23:C9:A0:9B,3,33.1,1010,25,34,29,59,66,2022-08-01 1:11,87,2022-08-01 10:11
86,2022-08-01 1:12,N,4,15,60:A4:23:C9:A0:3B,3,29.7,1026,45,66,47,106,77,2022-08-01 1:12,86,2022-08-01 10:12
87,2022-08-01 1:12,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.1,1014,4,4,6,10,92,2022-08-01 1:12,80,2022-08-01 10:12
88,2022-08-01 1:12,N,4,12,60:A4:23:C9:A0:4D,3,27.4,1022,15,19,18,35,69,2022-08-01 1:12,87,2022-08-01 10:12
89,2022-08-01 1:12,N,4,16,60:A4:23:D4:5D:A3,3.1,32.2,1006,69,104,80,172,71,2022-08-01 1:12,86,2022-08-01 10:13
90,2022-08-01 1:14,N,4,17,60:A4:23:D4:5D:C7,3.1,29.9,1009,101,114,94,211,81,2022-08-01 1:14,86,2022-08-01 10:14
91,2022-08-01 1:15,V,3,001C,60:A4:23:7F:49:30,1.3,28.9,1014,4,5,5,10,88,2022-08-01 1:15,51,2022-08-01 10:15
92,2022-08-01 1:15,N,4,18,60:A4:23:C9:A0:E3,3.1,31.7,1006,199,204,186,396,80,2022-08-01 1:15,86,2022-08-01 10:15
93,2022-08-01 1:15,V,3,001D,60:A4:23:7F:3D:52,1.3,24.4,1014,5,4,6,10,94,2022-08-01 1:15,81,2022-08-01 10:15
94,2022-08-01 1:16,N,4,10,60:A4:23:C9:A0:4C,3,29.2,1006,49,71,48,114,75,2022-08-01 1:16,88,2022-08-01 10:16
95,2022-08-01 1:17,N,4,19,60:A4:23:D4:5D:84,3,33.5,1029,85,122,79,194,71,2022-08-01 1:17,86,2022-08-01 10:17
96,2022-08-01 1:18,N,4,13,60:A4:23:C9:A0:3E,3,33.2,1023,88,108,87,190,63,2022-08-01 1:18,87,2022-08-01 10:18
97,2022-08-01 1:20,N,4,14,60:A4:23:C9:A0:2F,3.1,32.8,1016,62,73,59,131,81,2022-08-01 1:20,87,2022-08-01 10:20
98,2022-08-01 1:21,N,4,11,60:A4:23:C9:A0:9B,3,32.7,1010,50,51,38,93,69,2022-08-01 1:21,88,2022-08-01 10:21
99,2022-08-01 1:22,N,4,15,60:A4:23:C9:A0:3B,3,30.7,1026,19,23,15,39,68,2022-08-01 1:22,87,2022-08-01 10:22
100,2022-08-01 1:22,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.3,1014,4,4,6,10,92,2022-08-01 1:22,81,2022-08-01 10:22
101,2022-08-01 1:22,N,4,12,60:A4:23:C9:A0:4D,3,27.3,1022,17,24,19,41,74,2022-08-01 1:22,88,2022-08-01 10:22
102,2022-08-01 1:22,N,4,16,60:A4:23:D4:5D:A3,3.1,32.6,1006,61,87,61,141,78,2022-08-01 1:22,87,2022-08-01 10:23
103,2022-08-01 1:24,N,4,17,60:A4:23:D4:5D:C7,3.1,30.2,1009,23,35,23,56,72,2022-08-01 1:24,87,2022-08-01 10:24
104,2022-08-01 1:25,V,3,001C,60:A4:23:7F:49:30,1.3,29,1014,4,4,6,10,89,2022-08-01 1:25,52,2022-08-01 10:25
105,2022-08-01 1:25,N,4,18,60:A4:23:C9:A0:E3,3.1,32.7,1006,29,47,36,75,72,2022-08-01 1:25,87,2022-08-01 10:25
106,2022-08-01 1:25,V,3,001D,60:A4:23:7F:3D:52,1.3,24.6,1014,5,4,6,10,93,2022-08-01 1:25,82,2022-08-01 10:25
